NCESSCH School ID,CT Unemployment Rate,CT Pct Adults with College Degree,CT Pct Childre In Married Couple Family,CT Median Household Income,School ACT average (or equivalent if SAT score),School Pct Free and Reduced Lunch
210477000755,15%,46%,64%,40463,17.90,62%
210477001166,16%,45%,45%,27397,19.00,72%
210483001214,8%,61%,60%,25169,20.60,25%
210489001220,11%,35%,57%,19672,17.50,62%
210495000506,11%,48%,57%,28797,18.90,52%
210495001233,6%,57%,21%,30280,19.70,50%
210498001240,11%,57%,63%,45285,19.50,30%
210504001246,13%,44%,81%,30479,16.80,62%
210507001252,6%,47%,73%,41991,18.20,54%
210510001260,6%,67%,72%,40614,19.50,41%
210513001272,14%,74%,72%,65852,21.70,25%
210516001265,8%,44%,47%,30232,18.30,54%
210519001275,10%,47%,44%,31471,18.30,57%
210526001283,10%,45%,61%,37365,20.60,26%
210532001292,6%,35%,60%,47115,19.70,37%
210532002253,8%,61%,66%,54638,19.90,32%
210540001301,11%,49%,62%,42188,19.30,42%
210543001310,6%,57%,21%,30280,20.30,42%
210549001315,3%,51%,88%,68568,19.50,29%
210552001318,5%,58%,69%,40286,19.30,42%
210555001325,6%,39%,69%,45111,18.40,48%
210558001329,6%,51%,88%,44813,18.50,38%
210561001333,12%,40%,51%,46302,19.00,39%
210564001338,6%,52%,55%,39890,18.80,38%
210570001342,9%,57%,84%,61513,21.90,29%
210573001353,9%,49%,49%,24853,17.90,64%
210573001354,7%,39%,56%,44029,19.00,50%
210573001692,3%,62%,81%,64485,21.00,32%
210573002277,5%,60%,89%,65687,21.40,21%
210576001358,10%,50%,53%,39322,18.90,44%
210579001224,14%,25%,54%,27091,17.90,57%
210582001374,12%,40%,86%,41763,18.50,41%
210588001386,8%,38%,75%,35872,19.20,69%
210591001939,8%,48%,54%,34779,20.10,60%
210594002308,6%,40%,72%,42344,19.60,47%
210597001397,7%,35%,44%,17019,17.40,71%
210600001404,5%,67%,73%,54044,21.40,29%
220002201922,7%,94%,100%,22083,24.90,1%
220002301921,15%,44%,20%,21044,18.90,60%
220003000004,10%,28%,27%,30554,17.10,49%
220003000006,6%,42%,78%,43729,17.90,59%
220003000014,6%,42%,78%,43729,19.60,32%
220003000016,6%,29%,62%,45882,19.00,43%
220003000019,4%,35%,31%,28679,16.90,48%
220003900450,3%,73%,69%,76558,20.70,31%
220004000344,6%,55%,32%,43908,17.50,76%
220004500953,16%,53%,62%,40500,18.50,58%
220004600865,14%,56%,30%,22123,15.40,90%
220005500741,23%,59%,24%,26505,16.90,68%
220006000024,5%,52%,48%,23281,21.30,39%
220006000025,9%,37%,74%,44026,20.50,44%
220006000027,6%,36%,63%,40000,19.70,43%
220006000029,5%,52%,48%,23281,17.90,51%
220006000032,8%,37%,64%,46536,18.90,57%
220009000036,7%,45%,39%,39560,16.40,81%
220009000038,8%,45%,47%,48103,19.30,44%
220009000046,3%,45%,63%,65353,20.40,29%
220009001541,3%,71%,68%,76771,22.40,20%
220012000048,11%,43%,63%,35991,17.40,45%
220012500363,2%,62%,75%,54818,21.10,30%
220014802320,4%,92%,74%,52270,20.80,49%
220015000063,8%,30%,41%,32067,18.50,77%
220015000073,7%,34%,53%,27062,17.40,64%
220015000075,18%,27%,42%,35714,17.50,66%
220015502264,22%,51%,19%,21568,14.40,78%
220015502323,19%,32%,53%,25947,13.90,81%
220015602270,7%,82%,71%,52043,19.70,66%
220015702322,3%,70%,72%,59042,19.70,40%
220016002327,10%,46%,21%,24808,20.90,49%
220018000081,7%,66%,59%,49427,20.10,36%
220018000083,10%,38%,66%,40185,21.50,37%
220018000086,4%,31%,57%,38111,19.20,46%
220018000089,5%,44%,83%,63500,20.50,35%
220021000092,9%,46%,73%,39236,20.70,47%
220024000103,16%,21%,36%,14882,17.20,89%
220027000112,8%,54%,42%,41813,20.40,34%
220027000117,9%,47%,50%,39188,20.90,18%
220027000120,14%,28%,9%,19637,16.70,67%
220027000127,6%,48%,50%,48430,19.80,38%
220027000130,3%,77%,83%,63668,20.30,24%
220027000132,14%,41%,53%,39933,16.60,66%
220030000147,2%,90%,75%,33408,21.40,33%
220030000151,5%,71%,75%,65142,20.20,33%
220030000161,13%,24%,14%,20045,15.40,87%
220030000163,20%,41%,15%,20364,17.20,86%
220030000169,,,,,16.50,70%
220030000179,11%,37%,44%,24597,19.50,59%
220030000182,8%,53%,40%,44141,18.70,45%
220030000197,4%,59%,28%,42338,17.00,52%
220030000208,19%,39%,36%,19957,15.50,87%
220030000212,10%,33%,23%,24255,15.50,83%
220030001551,15%,48%,13%,22929,25.60,16%
220033000216,4%,83%,94%,68479,21.00,27%
220033000217,8%,44%,83%,50488,19.90,37%
220033000227,7%,31%,78%,41349,18.90,32%
220033000237,9%,60%,68%,70259,20.80,22%
220033000238,11%,47%,56%,46641,19.30,42%
220033000244,14%,49%,21%,31337,17.20,67%
220033000266,17%,32%,49%,32270,20.30,30%
220033000270,4%,34%,63%,27450,18.30,43%
220033000272,18%,39%,37%,25094,16.40,80%
220033000278,11%,54%,65%,48472,19.10,37%
220036000281,11%,29%,71%,35983,19.40,51%
220039000289,9%,47%,62%,37449,21.30,33%
220042000294,17%,34%,54%,26595,18.10,61%
220045000308,14%,37%,46%,29659,17.30,70%
220045000311,26%,44%,14%,33508,16.20,78%
220048000317,27%,28%,23%,20049,16.30,90%
220048000322,12%,32%,87%,43056,21.50,36%
220048000324,16%,49%,72%,44756,20.40,49%
220051000331,5%,41%,40%,42500,18.80,57%
220051000334,16%,45%,67%,36333,16.50,85%
220051000337,5%,41%,40%,42500,19.20,47%
220051001579,6%,46%,66%,55232,18.90,35%
220054000347,3%,81%,39%,31332,26.20,29%
220054000349,16%,36%,33%,27411,15.70,77%
220054000355,6%,69%,73%,53750,17.40,71%
220054000365,15%,47%,61%,61046,18.00,78%
220054000378,13%,58%,48%,47482,16.10,86%
220054000397,14%,61%,14%,19475,20.00,66%
220054000423,15%,44%,20%,21044,17.50,71%
220054000434,4%,75%,35%,49490,17.00,72%
220054000447,5%,67%,52%,62358,19.20,55%
220054002309,18%,49%,9%,28000,16.60,70%
220054002311,18%,49%,9%,28000,17.00,74%
220054002324,11%,35%,58%,28846,15.00,87%
220057000454,21%,32%,35%,17380,16.80,93%
220060000465,7%,36%,51%,41711,17.10,79%
220063000470,11%,30%,53%,37543,20.80,56%
220063000475,11%,42%,50%,25457,19.60,64%
220063000478,3%,31%,63%,38480,18.60,50%
220063000482,4%,24%,37%,14932,17.70,78%
220066000490,9%,35%,63%,34651,17.50,68%
220069000501,8%,38%,61%,41328,18.60,47%
220069000502,20%,32%,66%,36181,16.50,66%
220072000511,8%,34%,61%,46581,20.00,43%
220072000519,10%,29%,48%,49808,16.60,88%
220072000523,9%,43%,67%,60664,19.90,42%
220072000525,22%,33%,49%,31488,17.90,62%
220072000527,7%,52%,43%,34729,18.70,49%
220075000543,6%,45%,17%,40679,18.00,75%
220075000550,16%,38%,28%,40435,18.90,80%
220078000555,7%,38%,49%,42500,15.40,76%
220078000556,4%,48%,58%,41563,19.60,38%
220078000560,7%,35%,62%,46139,20.10,46%
220081000566,11%,54%,67%,41314,19.30,48%
220081000570,10%,48%,71%,50938,19.40,35%
220081000572,17%,38%,48%,40417,19.00,47%
220081000574,9%,49%,58%,41383,19.80,37%
220084000585,2%,63%,89%,75816,17.60,61%
220084000592,5%,41%,37%,27250,17.50,67%
220084000597,5%,50%,62%,41912,19.10,56%
220084000598,8%,56%,66%,58958,18.10,65%
220084000604,6%,32%,66%,48264,18.20,52%
220084000617,2%,97%,89%,109722,28.60,15%
220084000620,5%,42%,68%,35024,17.40,71%
220084000625,8%,71%,88%,82877,19.30,58%
220084000642,4%,71%,30%,40096,19.20,53%
220084000654,5%,34%,56%,32054,17.00,70%
220084001964,8%,44%,42%,39619,26.20,33%
220087000660,2%,61%,72%,54891,18.90,47%
220087000668,11%,53%,43%,43171,17.90,57%
220087000669,3%,80%,27%,60376,20.00,30%
220087000678,3%,60%,51%,32142,22.50,29%
220087000686,20%,29%,37%,22540,16.60,75%
220090000699,6%,42%,40%,38114,19.20,41%
220090000721,11%,38%,78%,50189,20.20,39%
220090000725,5%,42%,42%,39051,19.30,51%
220096000732,10%,36%,52%,31546,19.00,41%
220096000734,8%,34%,68%,36903,18.30,41%
220099000742,10%,54%,57%,36700,20.70,28%
220099000752,10%,81%,73%,37993,20.50,46%
220099000753,5%,52%,54%,42917,18.40,66%
220102000755,10%,39%,57%,33712,18.50,46%
220102000758,7%,47%,52%,51571,20.60,27%
220102000761,4%,34%,57%,51967,19.60,35%
220102000762,7%,30%,61%,45089,21.60,30%
220102000765,6%,44%,62%,40051,22.00,40%
220102000767,4%,49%,81%,69586,21.40,23%
220102000768,6%,44%,72%,53651,20.90,49%
220102000773,10%,50%,56%,52742,19.60,48%
220102000774,11%,58%,62%,53924,20.20,30%
220105000780,25%,45%,31%,16757,15.00,90%
220108000787,29%,43%,28%,18478,17.80,84%
220108000799,3%,66%,48%,39311,21.60,47%
220108000803,17%,46%,17%,26077,16.90,85%
220111000805,14%,26%,14%,21316,17.60,71%
220114000101,12%,34%,66%,42426,16.40,74%
220114000834,9%,51%,15%,21856,17.90,59%
220117000880,25%,43%,31%,20906,18.80,75%
220117000888,10%,57%,26%,31750,28.40,22%
220117000911,5%,53%,26%,34227,19.00,74%
220117000939,14%,56%,30%,22123,16.30,83%
220117000945,4%,98%,96%,75179,19.10,79%
220120001001,,,,,18.80,50%
220120001013,1%,62%,59%,50793,19.70,28%
220120001017,9%,56%,39%,22939,20.90,38%
220120001525,13%,41%,9%,23229,16.20,89%
220120001939,8%,43%,80%,49779,19.90,30%
220123001022,4%,49%,70%,68802,20.60,36%
220123002028,0%,47%,62%,38125,18.90,65%
220126001029,5%,35%,70%,55469,18.00,70%
220129001040,1%,68%,58%,49688,19.60,43%
220129001042,13%,52%,40%,34786,21.60,57%
220129001047,2%,50%,92%,51861,19.90,37%
220129001051,11%,32%,77%,45000,20.20,68%
220129001064,7%,27%,66%,33250,19.80,44%
220129001067,20%,43%,14%,22899,16.90,83%
220129001069,8%,38%,28%,25174,21.30,37%
220129001073,8%,53%,65%,47717,19.10,69%
220129001084,9%,60%,65%,41149,19.10,59%
220129001943,8%,44%,55%,28438,18.00,73%
220132001090,17%,33%,22%,27365,17.60,75%
220135001095,15%,39%,53%,36165,16.00,85%
220135001100,8%,47%,62%,36820,18.10,61%
220138001107,9%,40%,64%,42200,17.90,62%
220138001110,13%,43%,61%,36250,18.20,52%
220138001112,8%,39%,25%,24347,18.10,56%
220138001118,15%,29%,39%,28000,18.80,63%
220141001125,10%,47%,43%,41157,19.40,64%
220144001139,8%,58%,59%,60444,20.00,40%
220144001141,12%,48%,43%,41990,19.90,35%
220147001154,10%,34%,43%,40000,16.00,98%
220150001163,14%,52%,64%,53417,19.60,54%
220150001167,14%,38%,46%,32303,18.10,74%
220153001488,6%,36%,55%,53892,17.80,73%
220153001500,26%,40%,29%,42568,20.00,89%
220156001181,7%,30%,44%,35886,18.60,55%
220156001204,8%,37%,37%,29508,18.90,64%
220156001210,4%,31%,62%,32448,19.20,55%
220156001989,2%,42%,73%,44397,18.20,79%
220156002005,4%,37%,48%,36938,18.80,43%
220156002006,15%,28%,27%,18131,18.30,64%
220159001219,17%,50%,30%,40481,18.50,52%
220159001223,9%,39%,60%,51966,18.30,48%
220159001229,4%,34%,74%,47902,17.40,60%
220162001236,7%,38%,72%,43798,21.00,35%
220162001238,20%,41%,40%,42931,18.50,66%
220162001242,20%,41%,40%,42931,17.00,73%
220162001251,8%,45%,54%,52242,19.80,54%
220162001253,22%,36%,30%,30217,17.50,75%
220162001254,8%,42%,47%,36857,17.30,56%
220165000412,3%,60%,69%,67391,22.60,22%
220165001274,9%,42%,25%,30254,19.70,42%
220165001285,8%,68%,64%,62074,23.30,15%
220165001287,10%,62%,80%,52120,19.60,56%
220165001292,9%,51%,47%,42841,19.10,56%
220165001294,12%,68%,83%,52663,20.70,41%
220165001650,3%,61%,70%,58715,22.20,20%
220165002255,9%,64%,71%,66788,22.10,26%
220168001298,26%,40%,32%,26992,15.90,85%
220168001304,10%,52%,50%,45563,18.40,65%
220168001307,16%,43%,56%,41821,15.70,82%
220168001310,25%,36%,19%,22373,15.80,93%
220168001312,7%,41%,88%,47489,19.10,46%
220168001319,9%,55%,46%,42052,19.90,45%
220168001840,25%,36%,19%,22373,19.30,68%
220171001328,12%,36%,19%,22391,16.20,87%
220174001338,7%,38%,57%,34828,19.20,49%
220174001346,7%,37%,39%,42255,17.90,67%
220174001367,1%,37%,56%,56319,19.30,47%
220174001368,3%,48%,66%,54571,19.80,42%
220177001376,6%,49%,14%,21607,17.60,59%
220180001385,17%,27%,42%,22294,17.50,68%
220180001390,8%,34%,61%,46581,21.50,25%
220180001398,10%,27%,25%,32615,19.40,41%
220180001661,7%,45%,61%,63494,20.90,31%
220180001695,3%,24%,75%,48652,19.00,47%
220183001405,7%,51%,59%,43917,22.70,33%
220183001407,4%,38%,74%,44605,21.70,55%
220183001409,7%,51%,59%,43917,20.40,41%
220183001410,10%,55%,44%,39338,19.80,37%
220183001415,5%,51%,71%,49252,21.10,32%
220183001664,11%,77%,87%,38585,19.20,38%
220186001424,15%,36%,46%,26138,19.50,65%
220186001425,25%,37%,54%,27115,18.60,72%
220186001426,16%,38%,76%,37102,17.90,83%
220186001429,19%,36%,76%,29671,17.40,98%
220189001444,13%,41%,37%,33629,17.60,51%
220189001450,10%,40%,63%,41193,19.00,43%
220189001451,18%,39%,33%,28365,18.30,56%
220192001457,3%,65%,81%,79241,20.60,39%
220192001464,9%,36%,62%,41439,17.60,71%
220195001469,12%,30%,73%,30551,20.20,68%
220195001471,9%,27%,51%,31775,19.20,64%
220195001472,9%,27%,51%,31775,20.90,66%
220198001476,13%,60%,62%,61424,20.50,40%
220201001480,7%,45%,58%,25500,19.00,54%
220201001487,7%,45%,58%,25500,18.20,62%
250000101558,9%,58%,63%,66250,22.72,17%
250000201790,13%,56%,62%,43500,21.30,34%
250001301782,6%,63%,79%,77200,21.94,16%
250002100511,8%,62%,75%,76976,20.62,45%
250002500524,5%,80%,80%,69440,23.86,10%
250002600530,18%,57%,16%,27787,18.15,74%
250002800537,10%,60%,68%,60537,20.40,45%
250003800581,11%,67%,62%,67110,25.77,3%
250004000600,8%,72%,81%,110121,22.86,20%
250004400816,7%,72%,78%,53111,24.82,11%
250004600819,5%,88%,64%,87852,20.76,51%
250004901245,11%,51%,40%,22332,15.42,80%
250005101247,8%,75%,85%,59022,20.57,51%
250005201250,5%,74%,82%,85523,21.86,7%
250005301256,11%,56%,65%,51667,21.62,33%
250005401258,18%,66%,54%,13488,17.78,74%
250005501260,8%,61%,76%,66750,23.03,13%
250005701271,13%,71%,67%,54669,24.18,8%
250005801272,12%,48%,44%,34355,24.40,4%
250006601586,7%,96%,73%,67762,21.96,62%
250006701109,9%,85%,75%,89313,25.57,4%
250007001667,17%,47%,37%,49510,17.69,71%
250007301750,16%,33%,34%,15820,21.08,37%
250007602086,15%,51%,36%,34486,23.82,16%
250007901842,4%,51%,59%,37778,22.13,46%
250008001843,4%,70%,65%,63621,20.32,70%
250008201845,20%,35%,47%,36934,21.76,69%
250008401847,15%,55%,15%,41659,21.54,37%
250008501984,9%,84%,75%,94141,28.41,4%
250008601996,6%,93%,65%,83980,20.03,41%
250009002112,8%,45%,56%,50829,16.05,80%
250051802632,6%,48%,75%,45871,22.35,45%
250051902629,16%,23%,28%,26492,19.35,57%
250052202680,6%,60%,67%,62308,19.93,56%
250052602703,8%,83%,67%,95085,16.37,76%
250054102728,7%,62%,77%,80536,22.64,10%
250054202738,11%,67%,62%,67110,22.16,33%
250165000001,9%,70%,82%,63003,21.03,16%
250171000012,4%,93%,88%,130134,27.31,4%
250178000021,14%,50%,58%,44125,20.13,33%
250180000024,7%,53%,62%,46442,21.54,23%
250186000034,8%,75%,77%,77321,23.52,17%
250192000042,12%,88%,,79107,25.48,24%
250195000045,8%,85%,82%,90739,25.13,5%
250198000053,8%,90%,88%,89315,25.28,10%
250204000069,7%,70%,97%,85662,22.13,17%
250210000070,6%,84%,88%,113818,24.47,11%
250216000074,11%,58%,83%,65224,20.45,45%
250219000084,13%,48%,56%,56402,20.89,32%
250222000100,6%,66%,88%,73550,21.74,15%
250225001295,13%,61%,72%,78750,19.93,24%
250231000116,7%,62%,74%,64750,22.01,27%
250240000128,8%,88%,85%,129500,25.01,9%
250243000134,6%,77%,88%,97823,22.64,12%
250246000139,6%,56%,83%,88198,21.13,20%
250249000143,5%,94%,86%,162786,26.33,7%
250253000154,6%,62%,64%,52026,23.11,13%
250258000160,3%,79%,79%,102422,22.94,11%
250264000164,9%,67%,47%,55242,22.11,16%
250267000177,9%,64%,96%,96150,22.18,9%
250271500192,8%,65%,73%,72389,22.13,22%
250279000203,12%,84%,13%,33359,28.48,28%
250279000204,20%,47%,13%,26276,23.52,53%
250279000205,23%,52%,22%,16832,21.86,71%
250279000208,7%,81%,72%,53796,16.05,85%
250279000215,4%,86%,74%,116830,16.22,85%
250279000217,3%,96%,100%,111923,16.03,-2%
250279000226,10%,30%,56%,52448,16.98,73%
250279000261,24%,33%,36%,23067,14.15,77%
250279000327,10%,75%,41%,54513,14.27,85%
250279000837,5%,77%,62%,76375,14.95,90%
250279001296,6%,90%,50%,122540,17.52,86%
250279001692,7%,56%,39%,50703,17.10,83%
250279001898,4%,86%,85%,80923,16.49,77%
250279001902,14%,33%,37%,47571,13.78,82%
250279002015,16%,62%,36%,48320,13.85,77%
250279002016,8%,83%,67%,95085,15.27,83%
250279002674,2%,83%,66%,65446,18.49,68%
250279002676,14%,46%,33%,52485,16.64,78%
250279002725,16%,62%,36%,48320,14.93,86%
250279002729,4%,86%,85%,80923,15.17,81%
250282000348,6%,80%,66%,79226,21.03,19%
250294000361,6%,69%,64%,93284,23.01,16%
250303000380,11%,60%,100%,42981,22.16,15%
250309000385,9%,60%,66%,74396,18.10,72%
250309002652,47%,31%,21%,12490,15.61,65%
250315000415,6%,98%,83%,137688,26.36,12%
250324000426,6%,81%,71%,99926,23.38,10%
250327000436,8%,93%,63%,51955,23.21,40%
250330000451,8%,87%,69%,70698,22.96,13%
250336002662,5%,57%,83%,64339,22.13,21%
250339000467,11%,67%,77%,47500,22.45,21%
250351000475,7%,68%,86%,77120,23.33,7%
250354000482,13%,19%,50%,38429,18.35,64%
250366000495,9%,41%,70%,58552,20.37,42%
250366000496,11%,63%,41%,40202,20.84,49%
250375000513,7%,69%,81%,75546,20.42,39%
250378000518,6%,90%,91%,117679,23.74,3%
250387000527,4%,91%,91%,130060,25.65,3%
250399000529,12%,79%,88%,93984,22.55,14%
250402000540,6%,63%,77%,77917,22.08,14%
250405000548,5%,86%,87%,89853,21.30,28%
250414000558,7%,73%,84%,54077,20.54,28%
250420000568,9%,69%,81%,85326,22.01,11%
250423000570,8%,70%,68%,84616,21.30,15%
250429000574,4%,89%,93%,130870,27.28,3%
250432000579,7%,52%,66%,73022,21.81,15%
250436000591,8%,69%,62%,71735,22.11,15%
250441000594,7%,91%,97%,120750,24.38,5%
250444000597,11%,60%,100%,42981,22.01,12%
250450000603,7%,68%,67%,75299,22.77,13%
250456000610,13%,64%,61%,56490,23.06,13%
250459000612,10%,69%,79%,49081,22.08,25%
250462000623,7%,84%,85%,79722,23.06,9%
250477000634,12%,37%,43%,49353,17.83,67%
250480000642,6%,64%,82%,60153,22.47,24%
250483000649,11%,58%,42%,41958,19.30,62%
250486000686,8%,67%,81%,70130,22.28,25%
250489000697,14%,65%,81%,83582,17.00,70%
250495000708,5%,74%,82%,85523,22.81,13%
250498002573,5%,65%,86%,74741,23.16,22%
250501000737,10%,82%,81%,90606,23.82,8%
250507000746,4%,72%,97%,109063,22.47,10%
250510000749,4%,80%,84%,59778,23.01,18%
250513000751,10%,47%,63%,54643,21.01,43%
250516000758,4%,60%,79%,52275,21.91,22%
250522000764,5%,84%,95%,100260,23.13,6%
250527000768,16%,54%,51%,39080,20.79,41%
250528000774,7%,73%,74%,44360,21.35,31%
250537000786,5%,85%,87%,105391,23.30,10%
250540000790,4%,64%,70%,78261,22.69,22%
250549000801,7%,59%,77%,53171,22.89,49%
250550000807,6%,87%,86%,118005,24.38,2%
250558000813,3%,81%,77%,74737,22.16,15%
250567000820,5%,92%,93%,119688,24.87,3%
250573000824,6%,82%,76%,116250,22.40,11%
250574000825,7%,68%,92%,79583,23.38,10%
250579000829,8%,72%,81%,110121,22.20,5%
250588000838,10%,79%,82%,131563,25.77,2%
250594000845,2%,69%,60%,60033,22.01,12%
250597000856,9%,61%,50%,56544,21.30,48%
250609000872,5%,88%,87%,124444,25.11,4%
250615000878,5%,65%,86%,79041,19.00,43%
250624000894,6%,85%,85%,95357,24.35,4%
250627000900,18%,59%,42%,27473,20.27,66%
250630000915,5%,74%,92%,99886,23.11,11%
250633000920,3%,88%,90%,131643,24.65,3%
250639000926,6%,72%,80%,72529,22.59,18%
250642000930,59%,35%,,,21.15,32%
250648000935,11%,74%,75%,59571,23.55,8%
250651000940,9%,77%,91%,87037,23.50,5%
250666002616,9%,42%,37%,42609,15.39,91%
250666002618,9%,42%,37%,42609,17.71,89%
250666002627,9%,42%,37%,42609,16.81,89%
250666002633,9%,42%,37%,42609,15.02,90%
250666002636,9%,42%,37%,42609,15.12,94%
250669000970,7%,73%,70%,59019,20.35,28%
250672000972,9%,63%,80%,75521,21.81,22%
250675000978,17%,78%,87%,51201,23.52,14%
250678000987,12%,54%,56%,48807,21.25,33%
250684001001,5%,91%,86%,121336,28.24,6%
250693001011,6%,95%,95%,177107,26.53,4%
250696001012,5%,86%,86%,116290,24.33,7%
250699001020,8%,94%,91%,100729,24.79,5%
250702001041,14%,68%,29%,34431,19.96,60%
250705001056,10%,64%,74%,65962,21.15,19%
250708001058,7%,65%,58%,58625,23.62,13%
250711001067,13%,55%,30%,36830,18.59,70%
250711001080,13%,36%,43%,53462,18.88,72%
250714001090,6%,84%,97%,121127,23.77,8%
250717001106,11%,73%,61%,42675,20.15,49%
250723001114,8%,71%,60%,72042,23.60,10%
250726001124,6%,91%,78%,81520,24.69,8%
250732001133,9%,66%,91%,66319,21.84,35%
250735001142,4%,78%,76%,82326,22.42,12%
250738001145,2%,78%,78%,80225,23.23,9%
250741001146,4%,86%,82%,121157,24.40,2%
250744000886,10%,60%,60%,58750,21.45,24%
250750001153,9%,78%,81%,79688,22.16,13%
250753001157,6%,88%,90%,147440,24.77,2%
250756001176,7%,78%,94%,99196,21.57,23%
250759001184,7%,88%,83%,112281,23.89,4%
250762001193,4%,84%,85%,80478,22.45,15%
250768001202,8%,80%,85%,111979,23.47,9%
250774001213,7%,61%,79%,63704,20.13,35%
250777001227,12%,51%,62%,60076,21.11,23%
250786001239,9%,63%,74%,56477,21.11,24%
250789001249,13%,62%,58%,50732,21.57,23%
250792001255,7%,76%,86%,96773,22.25,16%
250798001262,5%,84%,62%,105236,22.94,13%
250799001265,7%,71%,69%,53641,22.86,28%
250804001269,9%,58%,66%,64783,20.64,13%
250816001273,7%,85%,89%,85156,24.33,14%
250825001282,0%,75%,42%,96477,21.59,10%
250828001285,8%,55%,82%,68929,21.08,21%
250831001289,5%,84%,87%,144461,24.65,6%
250834001303,6%,82%,83%,73750,23.79,8%
250837001315,2%,96%,91%,125034,25.72,5%
250843001336,11%,54%,40%,57632,18.27,65%
250858001354,6%,90%,85%,56786,23.86,7%
250861001374,6%,96%,79%,89267,26.01,13%
250861001375,6%,97%,87%,175370,26.89,9%
250867001387,21%,49%,52%,40690,19.81,53%
250870001397,2%,89%,93%,144762,23.38,11%
250873001405,14%,67%,58%,54133,23.03,12%
250876001411,6%,56%,70%,58438,22.01,24%
250879001415,8%,74%,82%,85240,22.37,13%
250882001422,4%,81%,92%,138458,23.50,5%
250885001432,8%,91%,67%,70547,25.21,19%
250891001441,4%,82%,85%,98977,24.45,5%
250894001445,5%,66%,63%,66667,21.79,23%
250900001451,9%,77%,85%,90703,22.79,12%
250903001455,7%,78%,89%,101776,24.18,4%
250906001466,4%,78%,69%,99688,21.18,27%
250915001472,6%,73%,83%,78216,22.59,11%
250927001482,9%,64%,80%,70104,20.91,28%
250930001485,12%,64%,56%,52763,21.59,28%
250936001504,8%,71%,85%,54012,21.94,26%
250942001824,7%,73%,81%,92159,22.64,9%
250945001513,7%,77%,85%,92898,23.03,8%
250960001515,5%,72%,85%,60721,21.69,19%
250963001526,21%,41%,40%,18892,20.76,36%
250963001534,13%,53%,38%,23603,21.08,38%
250972000320,8%,62%,59%,53891,20.81,28%
250972000325,6%,55%,74%,80208,19.98,24%
250987001577,5%,58%,82%,65375,21.64,43%
250987001579,18%,69%,90%,51732,21.15,42%
250990001587,15%,55%,70%,41133,21.67,42%
250993001596,20%,66%,87%,57151,19.20,46%
250999001611,3%,80%,90%,102692,24.18,4%
251005001630,11%,46%,67%,56136,18.52,59%
251017001643,6%,50%,82%,67012,21.13,30%
251020002597,6%,76%,81%,75270,23.11,14%
251038001664,8%,62%,47%,63333,20.32,54%
251047001673,10%,82%,83%,92533,21.98,10%
251050001684,10%,63%,55%,71231,21.47,23%
251056001693,8%,80%,90%,121719,23.74,7%
251059001699,6%,78%,82%,61852,22.69,14%
251062001705,2%,92%,85%,100528,25.89,6%
251077001717,4%,89%,89%,121005,24.52,11%
251083001722,7%,73%,81%,92159,22.67,13%
251089001745,9%,75%,84%,57978,20.13,58%
251092001754,7%,72%,78%,53111,22.35,23%
251101002755,13%,34%,27%,26175,17.86,69%
251104001774,5%,59%,80%,50530,22.55,-3%
251113000901,4%,44%,78%,56303,13.95,77%
251113001806,27%,34%,8%,14186,14.10,76%
251113002137,12%,47%,48%,42732,17.88,56%
251113002444,23%,40%,30%,25313,17.52,68%
251122002295,7%,77%,79%,94398,21.91,14%
251125001864,18%,59%,51%,41971,21.62,27%
251140001414,5%,79%,88%,126250,22.81,7%
251143001887,8%,94%,84%,107353,23.08,14%
251146001893,8%,65%,96%,74826,21.94,21%
251149001900,6%,61%,76%,63889,23.57,14%
251152001915,9%,47%,52%,42487,21.50,37%
251158001926,6%,68%,74%,87480,22.13,12%
251174001932,6%,71%,80%,85994,22.67,16%
251176001934,9%,68%,77%,85905,22.59,7%
251185001938,10%,69%,81%,89423,21.06,16%
251188001940,5%,81%,89%,93056,23.16,9%
251191001951,7%,77%,86%,73643,22.84,8%
251197001964,6%,78%,87%,93040,22.62,13%
251200001979,8%,71%,76%,82798,20.71,32%
251203001983,12%,54%,48%,36031,21.47,45%
251206001991,10%,63%,58%,71205,20.57,38%
251210001994,8%,56%,57%,42538,22.28,37%
251218002005,3%,82%,91%,87423,22.20,27%
251221002010,5%,96%,89%,155885,26.21,6%
251224002012,11%,44%,45%,33814,19.98,47%
251227002030,5%,96%,93%,175625,26.60,4%
251239002035,10%,58%,77%,72989,22.55,8%
251242002039,10%,56%,69%,71844,21.64,14%
251251002052,9%,67%,68%,76338,21.25,44%
251260002059,3%,77%,72%,77647,24.91,7%
251263002073,10%,64%,73%,68661,21.91,23%
251266002081,4%,96%,94%,148770,25.82,3%
251275002087,3%,92%,88%,226181,26.87,3%
251278002093,9%,56%,84%,90417,21.45,23%
251281002100,4%,93%,83%,123974,24.87,4%
251284002123,7%,66%,74%,76875,21.18,25%
251293002135,5%,62%,87%,84436,21.50,18%
251305002158,7%,69%,76%,91970,22.62,6%
251308002786,5%,59%,75%,57620,21.62,34%
251311002174,7%,83%,84%,89595,26.28,6%
251317002180,5%,67%,76%,82361,20.49,21%
251320002193,10%,55%,72%,56250,21.30,21%
251323001076,19%,36%,35%,21141,19.25,71%
251323002200,8%,58%,62%,30469,19.35,61%
251323002209,4%,83%,90%,80139,20.30,53%
251323002239,13%,61%,42%,45458,16.03,78%
